id,crawling_date,job_title,salary,deadline,views,region,description,requirements,benefits,posted_date,level,profession,skills,field,resume_language,min_yoe,nationality,min_edu_level,gender,desired_age,marital_status,num_of_recruits,working_day,working_hours,location,keywords
1,20240923,"Technical Sales Manager (Ups, Critical Power & Data Center)",Thương lượng,Hết hạn trong 28 ngày,67 lượt xem,"Hà Nội, Hồ Chí Minh","1. Product Solution design: Accurately understand customer requirements, match the optimal product solution, analyze and locally adapt product and solution competition strategies, complete bidding configuration and quotation, solve customer technical and commercial problems.
2. Customer relationship development: Develop customer relationships and gain insight into customer requirements of the responsible account group/region. Accurately analyze the market and identify operating scenarios.
3. Sales project operation: Operate and manage E2E sales projects, coordinate resources from all parties to improve the project success rate, and achieve the business objectives of the region.
4. Ecosystem partner development: Gain insight into and identify the ecosystem partner circle, develop and maintain partners, build a sound communication platform, and work with ecosystem partners to serve customers.","- Bachelor’s degree or above in Electrical /Energy /Power engineering related field
- Have at least 1-year technical sales or engineering experience in UPS / Critical Power / Data Center Facility or related power equipment supply or integration business
- Good at presentation, communication, logical and persuasive.
- Good at develop and maintain relationship with customers.
- Good command in English, both communication and writing as a must.
- Chinese language ability is an optional advantage.

* Working time and benefits:
1. Monday to Friday (08:30-18:00).
2. Participating in full insurance benefits (health insurance, social insurance, unemployment insurance), the company supports 24/24 accident insurance and health care insurance for employees.
3. Professional working environment, multinational company, good career development opportunities. Cultural and sports activities, taking care of employees' health and life are organized periodically...
4. Salary: negotiable (competitive)","[{'Thưởng': 'Attractive Salary + 13th month salary + Performance Bonus'}, {'Nghỉ phép có lương': 'Premium Healthcare Insurance'}, {'Khác': 'Full salary during probation period'}]",21/09/2024,Nhân viên,Kinh Doanh > Bán Hàng Kỹ Thuật,"English, Electrical, Quan Hệ Khách Hàng, Technical Capability, Business Development",Điện/Điện tử,Tiếng Anh,Không yêu cầu,Không hiển thị,Không giới hạn,Không hiển thị,Không hiển thị,Không hiển thị,Không hiển thị,,,"33F, Keangnam Landmark 72, Nam Tu Liem, Hanoi","['Kinh Doanh', 'Bán Hàng Kỹ Thuật', 'Điện/Điện tử', 'English', 'Electrical', 'Quan Hệ Khách Hàng', 'Technical Capability', 'Business Development', 'Công Ty TNHH Công Nghệ Huawei Việt Nam', 'Hà Nội', 'Hồ Chí Minh']"
2,20240923,Tax Manager - Trưởng Phòng Tư Vấn Thuế,"$ 1,500-2,500 /tháng",Hết hạn trong 16 ngày,399 lượt xem,Hồ Chí Minh,"1. Tham gia trực tiếp vào các nhóm tư vấn thuế cho khách hàng, chịu trách nhiệm thực hiện các công việc cụ thể bao gồm nhưng không giới hạn các công việc sau:
• Phân công công việc cho nhân viên cấp dưới để đảm bảo nhân viên thực hiện công việc hiệu quả cao nhất và hỗ trợ cho nhân viên nếu cần thiết;
• Rà soát và quản lý các công việc do nhân viên cấp dưới thực hiện bao gồm bảng tính lương, tờ khai thuế, các hồ sơ, thủ tục thuế, báo cáo tư vấn;
• Quản lý và kiểm soát các sản phẩm dịch vụ tư vấn thuế cho khách hàng và thời hạn cung cấp các dịch vụ tư vấn thuế theo yêu cầu của pháp luật về thuế và của khách hàng;
• Quản lý các mối quan hệ với khách hàng và cơ quan thuế liên quan đến các vấn đề về thuế;
• Trực tiếp tham gia các dự án rà soát thuế, hoàn thuế và hỗ trợ chuẩn bị thanh tra thuế cho khách hàng; tham gia tư vấn và các dự án đặc biệt theo yêu cầu của lãnh đạo công ty;
• Thực hiện tư vấn thuế cho khách hàng thông qua email, điện thoại và gặp trực tiếp với kinh nghiệm chuyên môn và kỹ năng chuyên nghiệp;
• Cập nhật các quy định mới về các sắc thuế.
2. Có trách nhiệm tiếp nhận chỉ đạo và báo cáo cho Tax Partner và ban lãnh đạo công ty và thực hiện các công viêc quản lý như sau:
• Hỗ trợ phát triển công ty bao gồm nhưng không giới hạn các công việc như gặp gỡ các khách hàng tiềm năng, chuẩn bị báo giá và giới thiệu/đề xuất dịch vụ và tìm hiểu nhu cầu của khách hàng.
• Xây dựng, đề xuất và cải tiến các quy trình công việc, phần mềm hỗ trợ công việc nếu cần thiết.
• Hỗ trợ đào tạo cho nhân viên mới; phát triển và nâng cao trình độ chuyên môn, kỹ năng và tính chuyên nghiệp cho đội ngũ tư vấn thuế.
3. Chi tiết công việc sẽ trao đổi thêm trong quá trình phỏng vấn.","• Có ít nhất 4 năm kinh nghiệm tại vị trí Manager về tư vấn thuế tại công ty tư vấn kế toán thuế
• Tốt nghiệp các trường đại học khối kinh tế, tài chính – chuyên ngành kế toán/kiểm toán;
• Có chứng chỉ hành nghề dịch vụ làm thủ tục về thuế (có chứng chỉ CPA là một ưu thế);
• Nắm vững hệ thống thuế, các chính sách thuế, các quy trình và thủ tục về thuế;
• Kỹ năng quản lý thời gian và quản lý công việc tốt;","[{'Thưởng': 'Môi trường làm việc chuyên nghiệp, năng động, thân thiện.'}, {'Chăm sóc sức khoẻ': 'Được hưởng đầy đủ các chế độ theo Luật Lao Động Việt Nam (BHXH, BHYT, BHTN…)'}, {'Nghỉ phép có lương': 'Mức lương thỏa thuận tuỳ theo trình độ và kinh nghiệm của ứng viên (có thể lên tới 1000$)'}]",09/09/2024,Trưởng phòng,Kế Toán/Kiểm Toán > Kế Toán Tài Chính,"Tax Management, Tax Accounting, Tax Consulting, Accounting, Finance or Accounting degree",Kế toán/Kiểm toán,Bất kỳ,Không yêu cầu,Không hiển thị,Không giới hạn,Không hiển thị,Không hiển thị,Không hiển thị,1,,,"Riverbank Place, 3c Tôn Đức Thắng, Quận 1, TP.HCM.","['Kế Toán/Kiểm Toán', 'Kế Toán Tài Chính', 'Kế toán/Kiểm toán', 'Tax Management', 'Tax Accounting', 'Tax Consulting', 'Accounting', 'Finance or Accounting degree', 'Công Ty Cổ Phần Fair Consulting Việt Nam (Fcvn)', 'Hồ Chí Minh']"
3,20240923,Purchasing Manager - Ingredient (FMCG),Thương lượng,Hết hạn trong 16 ngày,769 lượt xem,Hồ Chí Minh,"- Evaluate and select raw material suppliers to represent the company in negotiating contracts and purchasing policies with Supplier to ensure adequate supply according to QUOTIF.
- Manage Orders according to QUOTIF (QU - Quality: Meets the required quality, OT - On Time: On time, IF - In Full: Sufficient quantity required) for Purchase Requests arising during the year .
- Analyze the market and control supply to ensure the readiness of raw materials now and in the future.
- Monitor contract/order performance, resolve issues that arise during supplier contract implementation to ensure on-time delivery
- Proactively inform and connect departments in handling issues related to delivery and quality
- Develop systems, contracts, purchasing processes. Manage online purchasing and bidding systems
- Participate in the process of developing product standards, alternative materials, saving and cost avoidance projects
- Carry out settlement and issues related to documents, customs procedures, delivery, receipt, contract liquidation and coordinate with accounting to complete payments to suppliers.
- Report work results and improvement proposals to Purchasing Director","- Graduated University with relevant major
- Minimum 5 years of experience in a similar position, especially experience in purchasing raw materials at FMCG or Food manufacturing companies is a big advantage.
- Monitor contract implementation progress. Check documents and monitor procedures for receiving imported goods.
- Know how to make action/work plans to achieve goals, improve work according to PDCA, be flexible when implementing and always have an alternative backup plan.","[{'Thưởng': '13th payment'}, {'Máy tính xách tay': 'Laptop'}, {'Khác': 'Attractive Performance Bonus'}]",09/09/2024,Trưởng phòng,Bán Lẻ/Tiêu Dùng > Thu Mua,"English proficiency, Sourcing Resume, Food Ingredients, Raw Materials, Mua Hàng FMCG",Hàng tiêu dùng,Bất kỳ,5,Không hiển thị,Không giới hạn,Không hiển thị,Không hiển thị,Không hiển thị,Không hiển thị,,,"Techcombank Tower, 23 Lê Duẩn, Bến Nghé, District 1, Ho Chi Minh City, Vietnam","['Bán Lẻ/Tiêu Dùng', 'Thu Mua', 'Hàng tiêu dùng', 'English proficiency', 'Sourcing Resume', 'Food Ingredients', 'Raw Materials', 'Mua Hàng FMCG', 'Masan Consumer Holdings', 'Hồ Chí Minh']"
4,20240923,Trade Finance Operation Staff (Temporary – 11 month contract),Thương lượng,Hết hạn trong 12 ngày,866 lượt xem,Hồ Chí Minh,"JOB PURPOSE:

Responsible for smooth processing of Trade Finance transactions as assigned by the Team leader or Department Head. Demonstrate high level of accuracy and understanding levels of the transactions. Assist Team leader / Department Head in overall activities of the team. Responsible for preparing and sharing various report required for the department. Coordinate with releated Department for smooth conduct of transactions

MAIN RESPONSIBILITIES:

In charge of process/ execute daily operation including but not limieted to all types of trade finance transaction bellow as per procedures:

1. Trade Finance Operation:
• Trade Loan, discounting
• Guarantee, SBLC
• Import L/C opening, amendment.
• Import Bill Receivable (BR).
• Import Bill Collection Receivable (BCR).
• Shipping guarantee
• Export L/C & amendment advise, confirmation.",,"[{'Chăm sóc sức khoẻ': 'Premium healthcare package'}, {'Đào tạo': 'Training opportunities'}]",05/09/2024,Nhân viên,Ngân Hàng & Dịch Vụ Tài Chính > Dịch Vụ Hỗ Trợ Khách Hàng,"Banking, Core Banking, International Payments, MS Office, Trade Finance",Ngân hàng,Tiếng Anh,1,Người Việt Nam,Không giới hạn,Bất kỳ,Không hiển thị,Bất kỳ,1,T2 - T6,09:00 - 18:00,"The Nexus, Đường Tôn Đức Thắng, Bến Nghé, District 1, Ho Chi Minh City, Vietnam","['Ngân Hàng & Dịch Vụ Tài Chính', 'Dịch Vụ Hỗ Trợ Khách Hàng', 'Ngân hàng', 'Banking', 'Core Banking', 'International Payments', 'MS Office', 'Trade Finance', 'Mufg Bank, Ltd., Ho Chi Minh City Branch', 'Hồ Chí Minh']"
5,20240923,Kỹ Sư Ép Nhựa (Y/c 2 Năm Kinh Nghiệm),Thương lượng,Hết hạn trong 12 ngày,348 lượt xem,Hà Nội,"- Vận hành máy ép nhựa: Thiết lập và vận hành máy ép nhựa, điều chỉnh các thông số máy để đảm bảo quy trình sản xuất đạt hiệu suất cao và chất lượng sản phẩm ổn định.
- Giám sát quy trình sản xuất: Theo dõi quy trình ép nhựa, kiểm tra sản phẩm đầu ra và điều chỉnh nếu có lỗi kỹ thuật, đảm bảo sản phẩm đạt tiêu chuẩn chất lượng.
- Bảo trì và sửa chữa máy móc: Đảm bảo máy ép nhựa và các thiết bị liên quan luôn hoạt động tốt bằng cách thực hiện bảo trì định kỳ và sửa chữa khi cần thiết.
- Phân tích và cải tiến quy trình: Dựa trên dữ liệu sản xuất, phân tích hiệu suất của quy trình và tìm cách cải tiến để giảm thiểu lỗi, tăng năng suất, và tối ưu hóa chi phí.
- Hợp tác với các bộ phận khác: Phối hợp với các bộ phận như R&D, khuôn mẫu, QC, và sản xuất để đảm bảo sản phẩm nhựa phù hợp với các yêu cầu kỹ thuật và tiêu chuẩn.
- Đào tạo nhân viên: Tham gia vào việc đào tạo nhân viên vận hành về các quy trình sản xuất, cách thức vận hành máy móc và đảm bảo an toàn lao động.","- Bằng cử nhân các ngành kỹ thuật có liên quan.
- Ít nhất 2 năm kinh nghiệm trong mảng Kĩ sư ép nhựa tại các nhà máy lớn.
- Kiến thức tốt về kỹ thuật cơ khí, vật liệu nhựa, và kỹ năng vận hành máy móc chính xác.
- Kỹ năng phân tích và giải quyết vấn đề tốt.
- Kỹ năng giao tiếp, kết nối, phối hợp hiệu quả với nhiều bộ phận trong công ty.
- Sẵn sàng học hỏi và cập nhật công nghệ mới.
- Tác phong làm việc nghiêm túc, tỉ mỉ, chủ động, trách nhiệm, tuân thủ nội quy công ty.","[{'Thưởng': 'Làm việc, học hỏi trong môi trường chuyên nghiệp, hiện đại, tự do sáng tạo'}, {'Đào tạo': 'Khả năng phát triển năng lực, thăng tiến và hưởng mức thu nhập rất cạnh tranh'}, {'Giải thưởng': 'Tất cả các quyền lợi theo luật lao động, thưởng vào các ngày lễ trong năm, tháng lương 13'}]",05/09/2024,Nhân viên,Sản Xuất > Vận Hành Máy Móc,"Kỹ Thuật Ép Nhựa, Vận hành máy ép nhựa, Giám Sát Quy Trình Sản Xuất, Kỹ Thuật Cơ Khí, Bảo trì - bảo dưỡng máy móc thiết bị",Sản xuất,Bất kỳ,2,Không hiển thị,Không giới hạn,Không hiển thị,Không hiển thị,Không hiển thị,Không hiển thị,T2 - T6,,"Tầng 4, tòa Starcity, 23 Lê Văn Lương, Nhân Chính, Thanh Xuân, Hà Nội","['Sản Xuất', 'Vận Hành Máy Móc', 'Sản xuất', 'Kỹ Thuật Ép Nhựa', 'Vận hành máy ép nhựa', 'Giám Sát Quy Trình Sản Xuất', 'Kỹ Thuật Cơ Khí', 'Bảo trì - bảo dưỡng máy móc thiết bị', 'TOSY Robotics Manufacturing Co., LTD', 'Hà Nội']"
6,20240923,Nhân Viên Digital Marketing,Từ $ 550 /tháng,Hết hạn trong 12 ngày,945 lượt xem,Hà Nội,"1. Xây dựng KH, triển khai và theo dõi chiến lược quảng cáo của các sản phẩm trên các kênh Online như: Facebook, Zalo, TikTok, Instagram, Google, LinkedIn,..., giám sát hoạt động quảng cáo Digital.
2. Quản trị hệ thống kênh online của doanh nghiệp (website, fanpage, group, video channel…)..
3. Nắm rõ các quy định kỹ thuật của từng kênh Digital để tối ưu hóa hình ảnh, nội dung và chất lượng quảng cáo.
4. Phối hợp thiết lập, quản trị hoạt động QC trên các sàn TMĐT, đảm bảo nhất quán với quản trị thương hiệu, sản phẩm.","YÊU CẦU:
- Giới tính: Nam/nữ
- Tuổi: Trên 23 tuổi
- Chuyên môn: Đại học chuyên ngành thiết kế quảng cáo/công nghệ thông tin/Marketing.
- Kinh nghiệm làm việc : Có ít nhất 1 năm kinh nghiệm trong lĩnh vực Digital Marketing.
(Ưu tiên: Ứng viên có kiến thức về lập trình website, kỹ năng thiết kế, đồ họa là một lợi thế).
* Yêu cầu khác:
- Có tư duy sáng tạo, luôn cập nhật các xu hướng.
- Am hiểu về các kênh Marketing online, quản trị website.
- Có kinh nghiệm, thông thạo về triển khai chiến dịch quảng cáo trên các nền tảng online Google, Facebook, Tiktok.
- Sử dụng thành thạo các phần mềm, công cụ phục vụ cho Digital Marketing (Google Analytics, Social listening…).
- Kỹ năng sử dụng phần mềm: Office
- Hiểu biết về hoạt động công ty Quản trị và phát triển thương hiệu Tổ chức sự kiện Quảng cáo và truyền thông.","[{'Thưởng': 'Thu nhập ngoài lương khoảng 30-40%'}, {'Chăm sóc sức khoẻ': 'Chế độ thưởng theo quy định công ty'}, {'Cơ hội du lịch': 'Bảo hiểm: xã hội; y tế; thất nghiệp; thân thể'}]",05/09/2024,Nhân viên,"Tiếp Thị, Quảng Cáo/Truyền Thông > Tiếp Thị Trực Tuyến","Digital Marketing, Marketing Online, Quảng Cáo Truyền Thông, Google Analytics, Social Marketing",Dược phẩm,Bất kỳ,1,Không hiển thị,Cử nhân,Không hiển thị,Không hiển thị,Không hiển thị,Không hiển thị,,,"Đường Ngọc hồi, Hoàng Liệt, Hoàng Mai, Hà Nội","['Tiếp Thị, Quảng Cáo/Truyền Thông', 'Tiếp Thị Trực Tuyến', 'Dược phẩm', 'Digital Marketing', 'Marketing Online', 'Quảng Cáo Truyền Thông', 'Google Analytics', 'Social Marketing', 'Công Ty Cổ Phần Traphaco', 'Hà Nội']"
7,20240923,Nhân Viên Bộ Phận QA/QC,Thương lượng,Hết hạn trong 23 ngày,443 lượt xem,Đồng Nai,"- Kinh nghiệm 1-2 năm ở lĩnh vực liên quan.
- Sử dụng được tiếng Anh cơ bản trong công việc (đọc dịch tài liệu, viết email, v.v.).
- Kỹ năng tin học văn phòng.
- Hiểu biết về hệ thống quản lý chất lượng là một lợi thế.
- Chịu được áp lực công việc cao.
- Nghiêm túc, trung thực, cẩn trọng, chủ động và có trách nhiệm với công việc.
- Ưu tiên ứng viên sinh sống ở khu vực Long Thành, Đồng Nai hoặc sinh sống tại vùng lân cận KCN Long Đức.","- Giới tính: Nữ
- Tuổi: 26 - 35
- Trình độ: Cao đẳng, Đại học

**QUYỀN LỢI:
- Mức lương: Thỏa thuận / Tùy theo năng lực.
- Môi trường làm việc năng động, thân thiện.
- Được tham gia bảo hiểm đầy đủ theo quy định của pháp luật.
- Du lịch công ty hàng năm.
- Xem xét tăng lương hàng năm và các chế độ phúc lợi, đãi ngộ khác theo chính sách Công ty.","[{'Thưởng': 'Lương thưởng hấp dẫn'}, {'Đào tạo': 'Môi trường làm việc năng động'}]",16/09/2024,Nhân viên,Sản Xuất > Đảm Bảo Chất Lượng/Kiểm Soát Chất Lượng/Quản Lý Chất Lượng,"QA, QC, Phiên Dịch Tài Liệu, Tiếng Anh, Tin Học Văn Phòng",Ô tô,Bất kỳ,1,Người Việt Nam,Cao đẳng,Nữ,26-35,Không hiển thị,Không hiển thị,T2 - T6,09:00 - 18:00,"KCN Long Đức, Xã Long Đức, Huyện Long Thành, Tỉnh Đồng Nai","['Sản Xuất', 'Đảm Bảo Chất Lượng/Kiểm Soát Chất Lượng/Quản Lý Chất Lượng', 'Ô tô', 'QA', 'QC', 'Phiên Dịch Tài Liệu', 'Tiếng Anh', 'Tin Học Văn Phòng', 'Pegasus- Shimamoto Autoparts Vietnam CO., LTD', 'Đồng Nai']"
8,20240923,Chuyên Viên Visa & Work Permit (Từ 2 Năm Kinh Nghiệm Mảng Giáo Dục),$ 450-700 /tháng,Hết hạn trong 23 ngày,1908 lượt xem,Hồ Chí Minh,"* Lưu ý: Chỉ liên hệ với ứng viên thỏa yêu cầu 2 năm kinh nghiệm trong lĩnh vực nhân sự cho người nước ngoài (Tuyển dụng, Visa, Work Permit) trong Độ tuổi từ 23 đến 28 tuổi.

1. Giấy phép lao động :
- Gặp và hướng dẫn giáo viên nước ngoài (GVNN) về qui trình tiến hành làm giấy phép lao động (GPLĐ) và các loại hồ sơ liên quan khi giáo viên đồng ý làm việc tại VUS.
- Gia hạn giấy phép lao động cho GVNN.

2. Visa:
- Tiến hành các thủ tục xin duyệt visa lao động cho GVNN.
- Hỗ trợ GVNN chuyển đổi sang visa lao động.
- Tiến hành gia hạn Visa cho GVNN khi hết hạn.

3. Thẻ tạm trú:
- Lập danh sách giáo viên đủ điều kiện làm thẻ tạm trú
- Làm thủ tục xin cấp thẻ tạm trú cho giáo viên

4. Lập báo cáo gửi cơ quan chính quyền.","* Độ tuổi từ 23 đến 28 tuổi (sinh năm từ 2001 đến 1996)
- Tốt nghiệp Cao đẳng, Đại học chuyên ngành Tiếng Anh, Nhân sự.
- Bắt buộc trên 2 năm kinh nghiệm lĩnh vực nhân sự cho người nước ngoài (Tuyển dụng, Visa, Work Permit).
- Bắt buộc: Thông thạo về luật lao động, luật bảo hiểm, luật thuế thu nhập, luật xuất nhập cảnh và các thủ tục liên quan đến việc quản lý và hỗ trợ người nước ngoài làm việc tại Việt Nam.
- Bắt buộc: Trình độ tiếng Anh cao cấp, thành thạo tin học văn phòng.

* Quyền lợi
- Mức lương và chế độ đãi ngộ hấp dẫn;
- Hưởng lương 100% trong thời gian thử việc;
- Được trang bị laptop và các thiết bị cần thiết trong quá trình làm việc;
- Học bổng tiếng anh cho bản thân & người thân (không giới hạn khóa học);
- Môi trường làm việc chuyên nghiệp, công bằng và hiện đại nhất;
- Được tham gia các khóa đào tạo chuyên sâu về kỹ năng chuyên môn;
- Cơ hội thăng tiến và phát triển cao;
- Tham gia đầy đủ BHXH, BHYT, BHTN (Full lương)","[{'Chăm sóc sức khoẻ': 'Bảo hiểm 24/7; Khám sức khỏe hằng năm'}, {'Phiếu giảm giá': 'Học bổng VUS cho bản thân & người thân'}, {'Khác': 'Hưởng lương 100% trong thời gian thử việc'}]",16/09/2024,Nhân viên,Nhân Sự/Tuyển Dụng > Tuyển Dụng,"Teacher Recruitment, Expat Recruitment, Tư Vấn Lao Động, Tư Vấn Visa, Tư Vấn Luật Lao Động",Giáo dục/Đào Tạo,Bất kỳ,2,Không hiển thị,Cử nhân,Không hiển thị,23-28,Không hiển thị,1,,,"189 Nguyễn Thị Minh Khai, Phường Phạm Ngũ Lão, Quận 1, TP. HCM","['Nhân Sự/Tuyển Dụng', 'Tuyển Dụng', 'Giáo dục/Đào Tạo', 'Teacher Recruitment', 'Expat Recruitment', 'Tư Vấn Lao Động', 'Tư Vấn Visa', 'Tư Vấn Luật Lao Động', 'VUS - The English Center', 'Hồ Chí Minh']"
9,20240923,Chuyên Viên Kế Toán Thuế,"$ 800-1,200 /tháng",Hết hạn trong 25 ngày,645 lượt xem,Hà Nội,"1. Công việc hàng ngày:
• Thực hiện kiểm tra các nghiệp vụ về thuế (thuế GTGT, TNDN, TNCN, thuế môn bài, thuế đất...) bao gồm cả thuế vãng lai ngoại tỉnh các dự án BĐS, tính phân bổ thuế GTGT dùng chung, lập tờ khai thuế định kì tháng/quý, tờ khai quyết toán thuế năm, , các báo cáo thuế định kỳ, theo quy định và thực hiện nộp các nghĩa vụ thuế của Công ty.
• Thực hiện thu thập thông tin từ các nhóm kế toán phải thu/thanh toán và giải trình các số liệu với
Cơ quan thuế, Cơ quan hữu quan trong việc thanh kiểm tra, quyết toán thuế khi có yêu cầu hoặc
cho mục đích chia tách, sáp nhập,… các Công ty phụ trách theo sự phân công của cán bộ quản lý
trực tiếp.
• Theo dõi tình hình nộp ngân sách, tồn đọng ngân sách, hoàn thuế của Công ty. Cập nhật kịp thời
những chính sách, quy định mới về luật thuế liên quan đến hoạt động kinh doanh của Công ty.
• Trực tiếp tham gia làm việc với cơ quan thuế, kiểm toán nhà nước….
• Chuẩn bị các báo cáo, công văn cần phải công bố thông tin (áp dụng đối với các công ty niêm yết)
theo quy định về Công bố thông tin của Nhà nước, trình Kế toán trưởng phê duyệt công bố (trong
phạm vi được phân công).
• Hỗ trợ trưởng nhóm trong việc xây dựng ngân sách của bộ phận kế toán.
2. Công việc định kỳ và khoá sổ kế toán cuối kỳ:
• Triển khai thực hiện và kiểm soát kết quả theo các checklist khóa sổ trong phạm vi được phân công.
• Lập Kế hoạch tài chính tháng riêng/hợp nhất, thực hiện điều tiền giữa các công ty và theo chỉ đạo
của Tập đoàn.
• Đối chiếu công nợ nội bộ khối và báo cáo giao dịch các bên liên quan gửi Hội đồng quản trị hàng
tháng.
• Tiến hành đối chiếu toàn bộ các sổ chi tiết các tài khoản đảm bảo số dư chi tiết khớp với sổ cái. Rà soát các giao dịch bất thường trước khi khóa sổ kế toán.
• Kiểm tra và đôn đốc công tác khóa sổ kế toán định kỳ.
• Định kỳ lập báo cáo tài chính riêng, báo cáo hợp nhất, báo cáo quản trị, kế hoạch tài chính theo yêu cầu của Công ty, Tập đoàn.
3. Công việc khác:
• Thực hiện việc sắp xếp, bảo quản và lưu trữ hồ sơ, chứng từ theo quy định của Pháp luật và hướng dẫn của Công ty/Tập đoàn.
• Thực hiện cung cấp thông tin, số liệu cho các bộ phận, đối tác, cơ quan chức năng theo yêu cầu.
• Thực hiện các công việc phát sinh theo phân công của Cấp trên.
• Tham gia đầy đủ các chương trình đào tạo; thường xuyên tự học hỏi, trau dồi kiến thức, kỹ năng
chuyên môn để hoàn thành tốt công việc.","1. Trình độ học vấn:
• Tốt nghiệp Đại học trở lên, các chuyên ngành Kế toán, Tài chính
• Có các chứng chỉ, bằng cấp về Kế toán Kiểm toán là ưu điểm
2. Kinh nghiệm công tác:
• Có tổi thiểu 3-5 năm công tác tại các vị trí Chuyên viên kế toán.
• Có kinh nghiệm công tác tại các Tập đoàn/Công ty có quy mô lớn hoặc có yếu tố nước ngoài là ưu điểm
• Có kinh nghiệm công tác tại các Tập đoàn/Công ty Bất động sản, Bán lẻ hoặc Thương mại là ưu điểm
3. Kỹ năng & Năng lực chuyên môn khác:
• Có năng lực tư duy nhanh nhạy, chủ động và chịu được áp lực cao trong công việc.
• Có khả năng sử dụng tin học thành thạo và các phần mềm liên quan đến công việc (SAP)
• Có khả năng sử dụng ngoại ngữ Tiếng Anh là ưu điểm.","[{'Đào tạo': 'Tham gia đầy đủ các chương trình đào tạo; thường xuyên tự học hỏi, trau dồi kiến thức, kỹ năng chuyên môn để hoàn thành tốt công việc.'}]",18/09/2024,Nhân viên,Kế Toán/Kiểm Toán > Kế Toán Tài Chính,"Chịu Áp Lực, Kế Toán, Sap, Tài Chính, Tiếng Anh",Kế toán/Kiểm toán,Bất kỳ,3,Không giới hạn,Cử nhân,Bất kỳ,25-35,Bất kỳ,1,T2 - T7,9:00 - 18:00,Tòa Symphony - Đường Chu Huy Mân - Long Biên,"['Kế Toán/Kiểm Toán', 'Kế Toán Tài Chính', 'Kế toán/Kiểm toán', 'Chịu Áp Lực', 'Kế Toán', 'Sap', 'Tài Chính', 'Tiếng Anh', 'Tập Đoàn Vingroup - Công Ty Cổ phần Vincom Retail', 'Hà Nội']"
10,20240923,Software Architect (C++ or Java),"$ 600-2,000 /tháng",Hết hạn trong 17 ngày,383 lượt xem,Hà Nội,"LG Electronics Development Vietnam (LGEDV) Company focuses on smart & ecofriendly automotive components. The VC Company produces high quality & state of the art in car infotainment systems that deliver both information and entertainment on the go for many of the world‘s biggest automobile brands.

We, LG Electronics Development Vietnam (LGEDV), conduct core R&D activities, and various product reliability tests in support of our vehicle component business.

As Software Architect of LGEDV Hanoi Office, you will:

· Design overall SW Architecture and explicitly make SAD (SW Architectural Design) document based on customer requirements.
· Consider SW Reusability by checking whether new modules are really needed or not, have the developers utilize the previous design and source code that already developed in other projects to avoid redundant work load
· Be responsible to lead architectural decision based on constraints, risks and quality attributes among stakeholders i.e.) OEM, developer teams, project leader, developers, validation engineers etc.
· Act as single point of contact for the company work scope to collect, discuss and review, any technical requirement or topic related to the delivery of products to customer.
· Propose technical alternatives for resolving cross functional issues at project level
· Perform a verification review of design
· Collect or propose new technical programs to be setup, not related to a specific product, but applicable in general. Then manage all related technical activities for the execution of such programs (from planning, to development and testing).

*** What we offer:

· Attractive and competitive salary package (negotiable upon the interview);
· 13th month salary + incentive bonus (total remuneration package up to 16 month’s salary)
· Annual salary review;
· Support for lunch and transportation.
· 5 working days/ week: Mon – Fri with flexible working time;
· 12 days of annual leave, 7 days of company holidays & 10 days of public holidays;
· Social insurance contribution based on full gross base salary;
· Premium healthcare & Accident Insurance;
· Training opportunities abroad & global working environment;
· Lots of team building activities & internal events.","General requirements:

Competencies:
· Excellent written and verbal communication skills in English
· High responsibility and good teamwork
· An analytical mind with problem solving attitude","[{'Thưởng': ""Up to 16.5 Months' salary/ Year""}, {'Chăm sóc sức khoẻ': 'Bao Minh Premium'}, {'Nghỉ phép có lương': '20 full paid leave (including 8 days in LGEDV policy)'}]",10/09/2024,Nhân viên,Công Nghệ Thông Tin/Viễn Thông > Phần Mềm Máy Tính,"Java, C++, Software Architecture Design, Git, English",Phần Mềm CNTT/Dịch vụ Phần mềm,Tiếng Anh,1,Người Việt Nam,Cử nhân,Không hiển thị,Không hiển thị,Không hiển thị,Không hiển thị,,,"32F & 34F Keangnam Landmark 72, Pham Hung, Nam Tu Liem, Ha Noi","['Công Nghệ Thông Tin/Viễn Thông', 'Phần Mềm Máy Tính', 'Phần Mềm CNTT/Dịch vụ Phần mềm', 'Java', 'C++', 'Software Architecture Design', 'Git', 'English', 'LG Electronics Development Vietnam Company Limited', 'Hà Nội']"
